price,area,quan,phuong,latitude,longitude,may_lanh,tu_lanh,gio_tu_do,wc_rieng,ban_cong,co_bep,cho_de_xe,gan_sieu_thi,gan_quan_an,gan_truong_hoc
2700000,107,Quận 12,Phường Thới An,10.86917,106.649414,1,0,1,0,1,0,1,1,1,0
1200000,108,Quận Bình Tân,Phường An Lạc,10.722142,106.61111,0,1,1,0,0,1,1,1,0,0
4000000,109,Quận Bình Thạnh,Phường 25,10.803953,106.718025,0,0,0,0,1,0,1,0,0,0
1600000,112,Quận Tân Bình,Phường 10,10.774889,106.647995,1,1,1,1,1,1,0,0,0,0
1600000,112,Quận Tân Bình,Phường 10,10.774889,106.647995,1,1,1,1,1,1,0,0,0,0
6300000,109,Quận Bình Thạnh,Phường 12,10.811048,106.701,1,1,0,0,1,1,0,0,0,0
1200000,105,Quận 10,Phường 14,10.7777195,106.656166,0,0,1,1,0,1,1,0,0,0
6500000,109,Quận Bình Thạnh,Phường 25,10.8014965,106.722946,1,0,0,0,1,0,0,0,0,0
2950000,109,Quận Bình Thạnh,Phường 25,10.802469,106.71143,0,0,1,0,1,0,0,0,0,0
4000000,111,Quận Phú Nhuận,Phường 15,10.795194,106.67973,1,1,1,1,1,1,0,0,0,0
3800000,107,Quận 12,Phường Đông Hưng Thuận,10.8264065,106.62661,0,0,0,0,1,0,0,0,0,0
7300000,98,Quận 3,Phường 12,10.789393,106.675064,1,0,0,0,1,1,0,0,1,0
5500000,113,Quận Tân Phú,Phường Phú Thạnh,10.7738085,106.621635,1,1,1,0,1,0,1,1,0,0
5000000,102,Quận 7,Phường Phú Mỹ,10.708131,106.738205,0,0,0,0,1,0,0,0,0,0
3900000,113,Quận Tân Phú,Phường Sơn Kỳ,10.808338,106.61817,0,0,1,1,1,0,1,1,0,1
3800000,113,Quận Tân Phú,Phường Phú Thọ Hòa,10.78342,106.624916,1,0,0,0,0,1,0,0,0,0
4000000,107,Quận 12,Phường Trung Mỹ Tây,10.853655,106.60974,1,1,0,0,0,1,0,0,0,1
1600000,105,Quận 10,Phường 15,10.784032,106.6689,0,0,0,0,1,0,1,0,0,0
5300000,110,Quận Gò Vấp,Phường 14,10.848225,106.648125,0,0,1,0,0,0,0,0,0,0
9000000,109,Quận Bình Thạnh,Phường 27,10.816065,106.71914,1,0,0,1,0,1,1,0,0,1
3600000,118,Huyện Nhà Bè,Xã Phước Kiển,10.69601,106.704796,1,1,0,0,0,1,0,0,0,1
3500000,112,Quận Tân Bình,Phường 12,10.794953,106.65302,0,0,0,0,0,1,0,0,0,0
1500000,110,Quận Gò Vấp,Phường 14,10.856016,106.65122,1,0,1,0,0,0,0,0,1,0
3300000,119,Thành phố Thủ Đức,Phường Tăng Nhơn Phú A (Quận 9 cũ),10.842883,106.798454,1,0,1,1,1,0,0,1,0,1
3500000,110,Quận Gò Vấp,Phường 6,10.842452,106.67952,0,0,1,0,1,0,1,0,0,0
2500000,101,Quận 6,Phường 12,10.750645,106.631935,0,0,1,0,1,0,1,1,0,1
3500000,109,Quận Bình Thạnh,Phường 26,10.810255,106.7123,1,0,1,1,0,0,0,0,0,0
890000,115,Huyện Bình Chánh,Xã Tân Kiên,10.729475,106.58176,0,0,0,0,0,1,0,0,0,1
8000000,117,Huyện Hóc Môn,Xã Tân Xuân,10.879479,106.60942,1,0,0,0,0,1,0,0,0,0
1900000,108,Quận Bình Tân,Phường Bình Trị Đông,10.776182,106.61098,1,0,1,1,1,0,1,0,0,1
3700000,119,Thành phố Thủ Đức,Phường Linh Trung (Quận Thủ Đức cũ),10.856666,106.76534,0,0,1,0,1,0,0,0,0,0
4000000,117,Huyện Hóc Môn,Xã Trung Chánh,10.861372,106.611244,1,1,1,0,1,1,0,0,0,1
2500000,110,Quận Gò Vấp,Phường 7,10.824249,106.68214,1,0,1,0,0,0,0,0,0,0
2600000,102,Quận 7,Phường Phú Thuận,10.740285,106.73585,0,0,1,0,0,0,0,0,0,0
3600000,98,Quận 3,Phường 11,10.786949,106.66465,1,0,1,0,1,1,0,0,0,0
5500000,109,Quận Bình Thạnh,Phường 25,10.8014965,106.722946,0,0,0,0,1,0,1,0,0,0
3200000,113,Quận Tân Phú,Phường Phú Thạnh,10.772731,106.62452,1,0,1,0,0,1,0,0,0,0
1200000,110,Quận Gò Vấp,Phường 6,10.837534,106.6806,0,0,0,1,0,0,1,0,0,0
1600000,113,Quận Tân Phú,Phường Phú Trung,10.782282,106.641975,1,1,1,1,0,1,0,0,0,1
6000000,105,Quận 10,Phường 14,10.7777195,106.656166,0,0,1,1,1,1,0,0,0,0
3800000,109,Quận Bình Thạnh,Phường 25,10.802271,106.71938,1,0,0,0,1,0,0,0,0,0
4500000,98,Quận 3,Phường 9,10.779811,106.681465,0,0,0,0,1,0,0,0,0,0
3800000,113,Quận Tân Phú,Phường Tây Thạnh,10.809595,106.61943,1,0,1,0,0,1,0,0,0,0
3500000,109,Quận Bình Thạnh,Phường 27,10.817441,106.719734,1,0,1,1,1,1,0,0,0,0
3500000,109,Quận Bình Thạnh,Phường 27,10.817441,106.719734,1,0,1,1,1,1,0,0,0,0
2800000,109,Quận Bình Thạnh,Phường 24,10.803098,106.708496,0,0,0,0,0,0,0,0,0,1
1800000,112,Quận Tân Bình,Phường 4,10.792499,106.65575,0,0,0,0,0,0,0,0,0,0
5200000,109,Quận Bình Thạnh,Phường 24,10.807077,106.699005,0,0,1,0,1,0,0,0,0,0
3900000,109,Quận Bình Thạnh,Phường 26,10.811762,106.71092,0,0,0,0,1,0,1,0,0,0
3500000,110,Quận Gò Vấp,Phường 8,10.84255,106.65591,0,0,1,0,0,0,1,0,0,0
6700000,110,Quận Gò Vấp,Phường 12,10.834935,106.644295,0,0,1,0,1,0,0,0,0,0
5000000,105,Quận 10,Phường 15,10.781445,106.67317,1,0,1,0,1,0,0,0,0,0
3300000,112,Quận Tân Bình,Phường 13,10.802163,106.64508,1,0,1,0,0,0,1,0,1,0
3800000,112,Quận Tân Bình,Phường 13,10.805112,106.63957,1,0,1,0,1,1,0,1,1,0
4400000,113,Quận Tân Phú,Phường Tây Thạnh,10.805846,106.6342,0,0,0,0,1,0,0,0,0,0
6500000,110,Quận Gò Vấp,Phường 4,10.823022,106.68477,0,0,1,0,1,1,0,0,0,0
4500000,109,Quận Bình Thạnh,Phường 7,10.8071995,106.69247,0,0,0,0,1,0,0,0,0,1
3300000,109,Quận Bình Thạnh,Phường 26,10.80783,106.70933,1,0,1,0,0,0,0,0,0,0
5500000,105,Quận 10,Phường 2,10.762771,106.67474,1,0,0,0,1,0,0,1,0,1
5200000,98,Quận 3,Phường 11,10.786508,106.66548,1,1,1,0,1,1,0,0,0,0
3000000,115,Huyện Bình Chánh,Xã Phong Phú,10.7104025,106.641174,0,0,1,0,0,0,0,0,0,1
4000000,98,Quận 3,Phường 11,10.786949,106.66465,1,0,1,0,1,1,0,0,0,0
4000000,110,Quận Gò Vấp,Phường 17,10.842118,106.67632,1,0,1,0,1,0,0,1,0,1
3300000,111,Quận Phú Nhuận,Phường 10,10.793716,106.672585,0,0,1,0,0,0,0,0,0,0
5000000,113,Quận Tân Phú,Phường Tây Thạnh,10.805846,106.6342,0,0,1,0,0,0,0,0,0,0
3500000,113,Quận Tân Phú,Phường Tân Thành,10.786532,106.6367,1,0,1,0,1,1,0,0,0,0
6000000,113,Quận Tân Phú,Phường Sơn Kỳ,10.807565,106.62174,0,0,1,0,1,0,1,0,0,0
3690000,105,Quận 10,Phường 12,10.775498,106.67632,1,0,1,0,0,0,0,0,0,1
3900000,109,Quận Bình Thạnh,Phường 26,10.811762,106.71092,0,0,0,0,1,0,1,0,0,0
5800000,98,Quận 3,Phường 1,10.767104,106.67646,0,0,1,0,1,0,0,0,0,0
1700000,102,Quận 7,Phường Tân Quy,10.7517,106.7248,1,1,0,1,0,1,0,0,0,1
3600000,105,Quận 10,Phường 14,10.767127,106.65912,0,0,1,1,1,1,1,0,0,0
1500000,110,Quận Gò Vấp,Phường 15,10.851631,106.66523,0,0,0,1,1,0,0,0,0,0
2800000,110,Quận Gò Vấp,Phường 5,10.8261385,106.69274,1,0,1,0,1,0,0,0,0,0
2600000,109,Quận Bình Thạnh,Phường 5,10.811831,106.68605,0,0,1,0,1,0,0,0,0,0
3500000,102,Quận 7,Phường Tân Phú,10.737949,106.721596,0,0,1,1,1,0,0,0,0,0
4500000,109,Quận Bình Thạnh,Phường 5,10.812533,106.68808,0,0,0,0,1,0,0,0,0,0
4000000,99,Quận 4,Phường 4,10.756062,106.70168,0,0,1,0,1,0,1,0,0,0
2700000,110,Quận Gò Vấp,Phường 5,10.8261385,106.69274,1,0,1,1,1,1,1,1,0,1
3000000,112,Quận Tân Bình,Phường 9,10.783646,106.65438,1,0,0,0,0,0,1,1,0,0
4200000,109,Quận Bình Thạnh,Phường 25,10.8014965,106.722946,0,0,0,0,1,0,1,0,0,0
4000000,110,Quận Gò Vấp,Phường 5,10.826223,106.68931,0,0,0,0,1,0,0,0,0,1
1300000,113,Quận Tân Phú,Phường Phú Thọ Hòa,10.786331,106.627655,0,0,0,0,1,0,1,0,0,0
3600000,110,Quận Gò Vấp,Phường 10,10.831404,106.66853,0,0,1,0,1,0,1,0,0,0
1700000,117,Huyện Hóc Môn,Xã Bà Điểm,10.841164,106.59671,0,0,1,0,1,0,0,0,0,0
3000000,119,Thành phố Thủ Đức,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),10.835623,106.71386,1,0,1,1,1,1,0,0,0,0
4300000,110,Quận Gò Vấp,Phường 15,10.851631,106.66523,0,0,1,0,1,0,0,0,0,0
2900000,112,Quận Tân Bình,Phường 2,10.813324,106.665085,0,0,1,0,0,1,0,0,0,0
3500000,119,Thành phố Thủ Đức,Phường Long Trường (Quận 9 cũ),10.7986355,106.82374,1,1,0,0,1,0,0,1,0,0
3300000,112,Quận Tân Bình,Phường 2,10.810144,106.66653,1,0,1,0,0,1,1,0,0,1
4800000,109,Quận Bình Thạnh,Phường 22,10.789216,106.71383,1,0,1,0,1,0,0,0,0,0
3300000,112,Quận Tân Bình,Phường 7,10.788349,106.65701,1,1,0,0,1,0,0,0,0,0
2600000,101,Quận 6,Phường 12,10.75191,106.63365,1,1,1,1,0,0,1,0,0,0
4200000,109,Quận Bình Thạnh,Phường 14,10.806523,106.6975,0,0,0,0,0,0,0,0,0,0
1500000,109,Quận Bình Thạnh,Phường 7,10.8071995,106.69247,1,1,0,0,1,1,1,0,0,1
6700000,110,Quận Gò Vấp,Phường 5,10.826223,106.68931,0,0,1,0,1,0,0,0,0,0
5700000,119,Thành phố Thủ Đức,Phường Thảo Điền (Quận 2 cũ),10.811411,106.72732,1,0,1,0,1,0,0,0,0,1
8000000,96,Quận 1,Phường Tân Định,10.791808,106.69075,1,0,0,0,1,0,1,0,0,1
3800000,98,Quận 3,Phường 11,10.786949,106.66465,1,0,1,0,1,1,0,0,0,0
4000000,110,Quận Gò Vấp,Phường 5,10.8261385,106.69274,1,1,0,0,1,0,0,1,0,1
3800000,109,Quận Bình Thạnh,Phường 26,10.8044,106.7099,1,1,1,0,0,1,1,0,0,0
7500000,96,Quận 1,Phường Tân Định,10.791808,106.69075,1,0,0,0,1,0,1,0,0,1
1800000,115,Huyện Bình Chánh,Xã Vĩnh Lộc A,10.831937,106.56486,0,0,0,0,0,0,0,0,0,1
2500000,107,Quận 12,Phường Thạnh Xuân,10.8834305,106.670395,1,1,1,0,1,1,1,0,0,0
5900000,102,Quận 7,Phường Tân Thuận Tây,10.747538,106.7177,0,0,1,0,1,0,1,0,1,1
3800000,109,Quận Bình Thạnh,Phường 13,10.824377,106.70332,0,0,1,0,0,0,0,0,0,1
4900000,111,Quận Phú Nhuận,Phường 7,10.803268,106.68758,0,0,1,1,1,1,0,0,0,0
2600000,119,Thành phố Thủ Đức,Phường Long Trường (Quận 9 cũ),10.7986355,106.82374,0,0,1,0,0,0,0,0,0,1
3200000,112,Quận Tân Bình,Phường 13,10.799949,106.64451,1,0,1,0,1,0,1,0,0,0
4100000,113,Quận Tân Phú,Phường Phú Thạnh,10.7790985,106.62425,1,1,1,1,1,1,0,1,1,1
2200000,110,Quận Gò Vấp,Phường 5,10.822505,106.68903,0,0,0,1,0,0,0,0,0,1
2800000,103,Quận 8,Phường 7,10.701176,106.623436,1,0,1,1,1,1,0,1,0,1
3800000,109,Quận Bình Thạnh,Phường 25,10.803953,106.718025,0,0,0,0,0,0,1,0,0,0
5500000,101,Quận 6,Phường 10,10.734515,106.62691,0,0,1,0,1,1,1,0,0,1
3300000,112,Quận Tân Bình,Phường 14,10.793693,106.642395,0,0,1,1,0,0,1,0,0,0
3300000,110,Quận Gò Vấp,Phường 7,10.831649,106.67961,0,0,1,0,1,1,0,0,0,0
